"Time","Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, Alfa Romeo, All Models, All Vehicle Years, #","Automobiles, AM General, All Models, All Vehicle Years, #","Automobiles, American Motors, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Austin/Austin Healey, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Brockway, All Models, All Vehicle Years, #","Automobiles, BSA, All Models, All Vehicle Years, #","Automobiles, Buick/Opel, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Chrysler, All Models, All Vehicle Years, #","Automobiles, Daewoo, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Diahatsu, All Models, All Vehicle Years, #","Automobiles, Diamond Reo/Reo, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Eagle, All Models, All Vehicle Years, #","Automobiles, Fiat, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Freightliner, All Models, All Vehicle Years, #","Automobiles, FWD, All Models, All Vehicle Years, #","Automobiles, GMC, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Imperial, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Motorcycles, American Motors, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, BSA, All Models, All Vehicle Years, #","Motorcycles, Ducati, All Models, All Vehicle Years, #","Motorcycles, Harley-Davidson, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"04/1988",,6,,54,26,,38,2,8,350,112,2012,116,4,406,,,472,,4,1734,102,,250,428,,2,12,,,,,,
"05/1988",,2,2,44,18,,38,,4,400,132,2022,124,2,474,,2,500,,6,1928,98,,256,510,,2,4,,,,,,
"06/1988",,2,,64,10,2,48,2,6,362,136,2178,142,2,438,,6,556,,12,1984,102,,302,542,,,2,,,,,,
"07/1988",,,2,56,12,2,40,,8,418,130,2294,128,4,454,,,588,,,2058,102,,308,524,,2,4,,,,,,
"08/1988",,2,2,50,20,,52,,2,430,130,2318,154,2,474,,4,574,,6,1950,130,,324,600,,,2,,,,,,
"09/1988",,2,4,56,26,,34,2,2,394,140,2338,168,2,496,,,554,,14,2002,80,,328,506,,,4,,,,,,
"10/1988",,4,2,58,26,2,34,,8,414,152,2242,178,4,482,,4,530,,12,2176,116,,322,436,,,,,,,,,
"11/1988",,4,,52,20,,40,4,2,418,142,2198,132,,544,,,478,,4,1918,114,2,262,342,,2,8,,,,,,
"12/1988",,4,2,70,24,,50,,6,442,154,2278,168,,482,,2,594,,10,1984,130,,316,308,,,8,,,,,,
"01/1989",,,,38,28,,26,2,6,396,124,1754,146,,472,,,438,4,6,1622,86,,226,288,,,6,,,,,,
"02/1989",,,2,34,12,2,20,,2,336,128,1618,116,,356,,,450,2,6,1444,114,,232,238,,2,6,,,,,,
"03/1989",,,2,50,10,,28,2,,374,136,1870,148,,446,,,536,,2,1640,90,,242,358,,2,4,,,,,,
"04/1989",,4,4,42,8,,40,2,4,344,128,1848,124,,472,2,,508,2,2,1784,106,,246,402,,,,,,,,,
"05/1989",,,,42,8,,50,2,4,386,116,2014,138,,386,,2,506,,8,1824,86,,252,490,,,2,,,,,,
"06/1989",,,,48,10,2,40,,4,384,138,2010,102,,418,,,528,8,6,1844,104,2,264,446,,,8,,,,,,
"07/1989",,,2,52,18,,48,,8,374,140,2158,134,2,432,,2,552,4,12,1914,134,,314,576,,,4,,,,,,
"08/1989",,2,2,38,8,,26,4,2,374,118,2150,146,,474,,2,534,10,10,1946,122,,284,500,,,2,,,,,,
"09/1989",,6,,52,12,,46,,4,414,132,2240,156,4,456,,,536,4,10,1976,108,,298,464,,,,,,,,,
"10/1989",,,2,62,24,,18,2,4,426,156,2202,126,,464,,,532,4,2,1964,122,,296,416,,2,6,,,,,,
"11/1989",,,2,52,18,,34,2,2,388,144,1920,108,4,398,,2,550,8,8,1858,152,,270,346,,,4,,,,,,
"12/1989",,2,2,72,10,,44,2,,406,144,2118,140,,466,,,558,8,10,2074,116,,268,360,,,8,,,,,,
"01/1990",,4,2,42,24,,26,2,2,358,112,1762,112,,344,,2,442,10,4,1666,100,2,188,248,,,4,,,,,,
"02/1990",,,4,32,14,,24,2,,302,114,1480,108,,348,,2,444,2,2,1436,88,,222,250,,2,,,,,,,
"03/1990",,6,,40,18,,26,,,336,128,1876,100,,392,,2,438,2,4,1704,128,,276,368,,2,10,,,,,,
"04/1990",,4,,44,14,,20,2,6,322,130,1808,88,,430,,2,458,8,4,1648,116,,246,408,,,2,,,,,,
"05/1990",,2,4,38,16,,54,,,398,152,1942,130,,410,,,460,10,10,1812,140,2,248,428,,,10,,,,,,
"06/1990",,,4,48,14,,34,,2,374,154,2034,166,,422,,4,490,6,6,1840,118,2,248,530,,,8,,,,,,
"07/1990",,4,2,28,26,,66,,2,344,160,2302,148,,438,2,,522,8,4,2056,114,2,304,574,,2,6,,,,,,
"08/1990",,2,4,50,20,2,34,,4,408,124,2164,116,4,446,,6,502,6,2,1964,144,,308,544,,,8,,,,,,
"09/1990",,,,42,14,,40,,2,414,120,1926,126,,504,2,,522,14,4,1836,86,,298,514,,,6,,,,,,
"10/1990",,,,48,24,,34,,4,366,118,1924,148,4,424,,,484,4,,1892,138,2,262,390,,,,,,,,,
"11/1990",,,4,38,20,,42,,4,382,108,1858,126,,388,,2,474,6,2,1772,106,2,228,372,,2,2,,,,,,
"12/1990",,,4,38,14,,48,,4,368,156,1858,118,,390,,,496,8,,1760,92,,224,330,,2,14,,,,,,
"01/1991",30,4,,22,8,,28,,,274,118,804,116,,216,4,,176,6,2,650,,,2,152,50,,4,,,,,6,20
"02/1991",8,,,22,8,,36,,,302,106,822,102,,234,,,174,6,2,674,,,4,138,36,,10,,,,,6,28
"03/1991",28,,,34,18,,24,,,346,116,956,110,,340,,,226,14,,732,,,2,180,62,,2,,2,,,14,48
"04/1991",16,,,36,8,,24,,,278,96,1002,114,,192,2,,228,14,2,690,,,,186,60,,2,,,,,22,98
"05/1991",20,,,30,10,,32,,,374,130,998,90,,262,2,,224,10,2,894,,,2,224,68,,,,2,,,54,156
"06/1991",20,,,32,26,,30,,,380,102,1114,126,,280,2,,236,16,4,844,,,2,232,66,,4,,,2,,48,180
"07/1991",10,6,,40,20,,34,,,382,132,1032,118,,344,2,,234,8,2,808,,,,210,60,,6,,2,,,60,172
"08/1991",22,2,,30,14,,24,,,358,148,1146,126,,318,4,,248,10,2,870,,,6,238,60,,6,,4,,,80,162
"09/1991",24,2,,26,8,2,30,,,398,114,1078,120,,256,2,,210,10,4,806,,,6,202,48,,4,,8,,,60,132
"10/1991",14,,,30,4,,34,,,376,128,1144,106,,232,6,,242,10,2,852,,,6,232,54,,2,,2,,,52,88
"11/1991",22,,,26,32,,30,,,400,114,1008,132,,312,2,,264,10,,822,,,,246,60,,10,,,,,12,52
"12/1991",24,,,24,24,,28,,,318,102,938,128,,270,4,,246,10,,886,,,4,224,48,2,,,2,,,22,34
"01/1992",10,,,34,10,,24,,,300,106,844,90,,232,4,,192,12,2,670,,,6,176,28,,2,,,,,20,34
"02/1992",18,,,24,14,,34,,,308,100,826,94,,230,2,,184,6,,606,,,2,194,40,,2,,4,,,24,22
"03/1992",20,,,18,12,,12,,,262,108,926,100,,230,2,,190,10,2,676,,,2,198,44,2,2,,,,2,36,64
"04/1992",20,2,,24,8,2,22,,,296,116,800,108,,240,,,174,16,2,664,,,,180,46,,,,4,,,38,102
"05/1992",20,,,26,22,,36,,,292,154,1040,108,,244,4,,216,6,,694,,,2,216,58,,12,,2,,,118,132
"06/1992",32,,,36,14,,40,,,368,144,996,102,,284,4,,212,6,2,790,,,8,204,54,,4,,6,,2,100,186
"07/1992",24,,,22,8,,26,,,244,150,946,130,,274,2,,238,14,4,814,,,6,182,68,,2,,,,,72,122
"08/1992",32,2,,22,18,,28,,,358,152,1052,106,,278,4,,202,12,,868,,,,216,58,,8,,6,,,108,154
"09/1992",14,2,,20,10,,24,,,328,104,936,124,,256,2,,186,2,,708,,,2,192,48,,4,,6,,,78,120
"10/1992",26,,,28,8,,26,,,394,150,1110,90,,292,4,,250,10,2,848,,,2,274,52,,4,,,,,68,78
"11/1992",26,,,22,8,,16,,,390,118,936,116,,288,,,226,10,2,730,,,,254,50,,10,,,,,30,70
"12/1992",28,,,22,14,,42,,,358,106,948,132,,282,6,,218,16,,824,,,4,268,74,,6,,,,,16,26
"01/1993",26,,,20,16,,40,,,292,116,844,94,,216,4,,176,2,8,642,,,4,192,40,,4,,,,,24,46
"02/1993",10,,,16,6,,18,,,232,100,780,112,,224,2,,192,2,,590,,,4,194,36,2,4,,,,,30,36
"03/1993",20,4,,20,14,,28,,,336,98,832,76,,242,8,,196,12,2,640,,,2,198,50,,,,2,,,62,56
"04/1993",12,,,26,16,,24,,,320,104,856,90,,238,,,172,12,4,674,,,2,176,48,,2,,2,,,88,148
"05/1993",14,2,,16,12,,32,,,362,140,966,136,,266,,,236,16,2,720,,,10,218,72,,,,2,,,146,170
"06/1993",22,2,,10,12,,54,,,316,144,876,94,,276,2,,192,16,2,708,,,4,232,56,,2,,12,2,,126,156
"07/1993",28,,,18,10,,30,,,360,132,1020,128,,310,2,,192,10,,834,,,4,274,58,,6,,6,,,180,202
"08/1993",28,,,14,8,,28,,,336,148,1086,132,,244,,,246,28,4,736,,,4,252,60,,2,,8,,,154,218
"09/1993",18,,,16,10,,30,,,326,132,954,100,,230,2,,224,10,4,756,,,2,238,64,,4,,8,,4,144,174
"10/1993",18,2,,22,22,,36,,,422,132,1088,134,,282,2,,276,18,,926,,,6,266,60,,10,,8,,,84,110
"11/1993",38,,,28,20,,44,,,362,132,868,136,,242,4,,216,10,4,808,,,,272,74,,,,2,,,44,54
"12/1993",26,,,14,12,,30,,,356,116,1002,122,,236,,,208,6,,850,,,8,218,62,,,,,,,16,38
"01/1994",20,,,18,6,,26,,,270,122,760,80,,210,6,,186,14,2,694,,,,194,44,,4,,,,,22,52
"02/1994",20,,,12,6,,22,,,262,90,652,78,,214,2,,148,14,,594,,,,212,48,,2,,4,,,24,50
"03/1994",14,2,,14,12,,34,,,314,96,870,96,,188,2,,218,16,2,688,,,2,232,66,,6,,2,,,70,84
"04/1994",26,,,10,10,,20,,,330,106,916,114,,230,2,,200,12,2,730,,,2,240,70,,,,2,,,86,130
"05/1994",32,,,14,14,,34,,,338,142,850,124,,262,2,,186,14,2,816,,,,234,62,,6,,2,,2,112,150
"06/1994",30,,,10,16,,32,,,316,110,846,96,,248,4,,200,12,2,750,,,2,284,62,,4,,4,,,116,182
"07/1994",32,,,14,22,,32,,,328,138,950,112,,264,,,222,20,2,760,,,2,256,70,,6,,16,,4,146,190
"08/1994",36,,,10,4,,34,,,320,144,892,116,,300,2,,208,18,,836,,,,272,84,,12,,10,,,116,190
"09/1994",38,,,16,4,,34,,,300,98,958,124,,278,6,,212,26,4,760,,,2,290,64,,10,,14,,,118,160
"10/1994",30,,,24,16,,32,,,346,132,1034,122,,270,,,226,18,,844,,,,292,64,,,,6,,,108,114
"11/1994",22,,,14,10,,20,,,308,120,894,116,,216,,,236,30,,898,,,2,288,70,,8,,2,,,44,46
"12/1994",38,2,,22,16,,40,,,380,124,1054,118,,284,2,,228,16,,862,,,6,308,82,,2,,2,,,32,50
"01/1995",30,,,,12,,32,,,336,86,866,78,,246,2,,192,28,,730,,,2,198,56,,8,,4,,,20,36
"02/1995",24,,,12,16,,16,,,266,92,826,74,,188,4,,188,22,,668,,,2,238,68,,4,,2,,,32,38
"03/1995",24,,,8,10,,30,,,320,118,820,92,,264,4,,190,22,,770,,,2,262,52,,2,,4,,,50,78
"04/1995",44,,,8,8,2,34,,,334,122,882,86,,234,2,,198,18,2,716,,,,258,64,,2,,2,,,78,122
"05/1995",26,,,12,12,,36,,,338,100,852,112,,244,2,,198,6,4,778,,,2,246,50,,,,,,,98,162
"06/1995",38,,,16,14,,44,,,344,100,914,126,,262,8,,220,26,4,746,,,,246,82,,2,,6,,,144,172
"07/1995",38,,,6,14,,34,,,332,130,878,106,,274,4,,240,22,,808,,,2,266,66,,2,2,10,,,130,210
"08/1995",30,,,10,6,,44,,,368,98,936,136,,236,,,248,26,,846,,,2,360,98,,8,,6,,2,132,186
"09/1995",18,,,18,18,,20,,,364,114,972,120,,286,4,,242,40,2,792,,,,284,78,,10,,6,,2,126,150
"10/1995",40,2,,24,20,,30,,,322,134,1048,120,,256,2,,216,20,2,878,,,,296,88,,4,,6,,4,100,140
"11/1995",52,,,8,12,,32,,,334,140,820,122,,274,4,,236,30,4,818,,,,318,78,,6,,,,,52,46
"12/1995",36,,,6,18,,46,,,314,186,938,114,,294,2,,230,30,,754,,,,322,62,,2,,2,,,30,40
"01/1996",26,,,4,6,,36,,,290,110,710,102,,222,2,,134,18,,738,,,,252,74,,2,,4,,4,26,44
"02/1996",34,2,,8,8,,30,,,262,88,756,94,,274,,,190,14,,604,,,2,222,58,,,,6,,,42,44
"03/1996",52,,,14,12,,24,,,276,106,804,92,,274,2,,192,14,,734,,,,244,92,,2,,,,2,60,68
"04/1996",44,2,,14,22,,30,,,302,102,858,100,,280,,,184,14,,756,,,,272,66,,4,,6,,,86,100
"05/1996",50,,,6,8,2,30,,,294,126,834,94,,234,4,,236,18,,744,,,,280,62,,2,,4,,,134,142
"06/1996",56,,,14,10,,44,,,340,112,868,94,,276,2,,194,22,,764,,,,268,54,,2,,6,,2,168,172
"07/1996",36,2,,8,6,,38,,,316,122,858,114,,276,6,,186,16,,798,,,,260,86,,8,,4,,,100,170
"08/1996",48,4,,,8,,24,,,296,120,940,136,,264,6,,228,14,2,848,,,,292,78,,2,,8,,2,172,168
"09/1996",34,,,8,8,,28,,,306,146,940,106,,272,,,212,14,,796,,,,290,70,,4,,6,,,116,160
"10/1996",58,2,,8,12,,38,,,330,130,1030,132,,270,2,,192,12,2,848,,,,350,78,,2,,10,,2,100,124
"11/1996",48,2,,6,16,,40,,,344,112,946,128,,290,2,,242,26,2,768,,,,348,76,,4,,2,,,36,46
"12/1996",40,,,10,14,,36,,,390,120,898,122,,246,2,,246,24,,890,,,,350,60,,4,,,,,36,34
"01/1997",50,,,6,10,2,56,,,318,92,848,94,,234,,,206,18,,714,,,,250,50,,8,,,,,26,26
"02/1997",32,2,,10,8,,20,,,266,82,714,86,,218,2,,178,20,,650,,,2,262,52,,8,,6,,,46,50
"03/1997",48,2,,4,12,,26,,,284,116,752,94,,242,4,,170,16,,688,,,,316,66,,2,,8,,,74,64
"04/1997",34,,,8,4,,32,,,280,140,804,92,,230,2,,212,30,,698,,,2,272,50,,8,,2,,4,92,74
"05/1997",50,,,10,12,,32,,,318,146,870,98,,270,2,,222,16,4,868,,,,298,66,,18,,2,,8,108,148
"06/1997",50,,,6,4,,22,,,322,102,830,106,,252,,,190,18,2,776,,,,324,52,,2,,12,,,178,168
"07/1997",38,2,,14,8,,32,,,326,124,874,124,,282,2,,200,22,2,828,,,2,322,64,,2,,4,,2,154,194
"08/1997",48,,,8,4,,34,,,346,120,966,102,,256,,,230,12,,798,,,,334,62,,12,,4,,6,146,170
"09/1997",26,,,2,4,,24,,,272,88,792,130,,246,,,184,24,,728,,,2,298,66,,8,,6,,4,140,118
"10/1997",42,,,10,,,42,,,304,118,962,106,,236,2,,226,12,2,846,,,,306,66,,8,,6,,2,126,112
"11/1997",30,,,,14,,42,,,324,118,836,106,,238,4,,200,22,,796,,,,314,56,,10,,,2,,48,40
"12/1997",38,,,6,18,,36,,,358,162,930,112,,256,4,,212,20,,904,,,,296,64,,4,,,,,24,28
"01/1998",46,,,2,4,,42,,,288,114,754,82,,248,2,,178,20,2,652,,,,260,56,,,,2,,,36,18
"02/1998",44,,,4,16,,30,,,256,98,664,82,,196,4,,190,24,,638,,,,248,60,,2,,2,,,42,54
"03/1998",46,,,4,8,,26,,,246,136,716,76,,234,4,,178,16,,680,,,,244,50,,4,,10,,,48,68
"04/1998",54,,,4,2,,36,,,250,106,688,74,,228,,,164,22,,706,,,,286,50,,16,,2,,4,102,96
"05/1998",42,2,,2,10,,34,,,312,112,792,134,,234,2,,188,14,,768,,,,286,68,,10,,8,,,156,152
"06/1998",32,,,2,12,,20,,,316,112,778,110,,236,,,172,16,,712,,,2,280,58,,2,,4,,,130,142
"07/1998",38,,,6,10,,44,,,304,136,824,132,,250,,,232,16,,796,,,2,318,84,,,,8,,,166,202
"08/1998",42,2,,2,12,,30,,,316,128,910,108,,264,,,186,18,,818,,,4,344,56,,2,,12,,2,204,142
"09/1998",36,,,4,4,,36,,,286,116,828,88,,232,,,216,20,,738,,,6,342,52,,4,,2,,,144,164
"10/1998",56,4,,,6,,42,,,284,100,818,136,,262,2,,200,18,,838,,,,330,64,,10,,6,,4,128,110
"11/1998",48,,,4,10,,40,,,290,130,720,120,,234,4,,206,22,,754,,,,366,70,,,,2,2,,78,58
"12/1998",58,,,4,10,,34,,,354,120,946,100,,238,4,,202,32,,836,,,,306,76,,6,,6,,,48,40
"01/1999",46,,,4,8,,30,,,250,82,644,56,,182,2,,164,14,,610,,,2,284,56,,2,,,2,2,32,34
"02/1999",30,,,2,8,,34,,,206,90,596,76,,186,2,,148,10,,594,,,,254,44,,2,,4,,,50,34
"03/1999",42,,,4,8,,26,,,266,88,808,70,,218,,,170,4,,666,,,,276,36,,6,,,,,76,72
"04/1999",42,2,,4,4,,28,,,240,100,700,90,,216,2,,194,12,,628,,,2,244,54,,10,,10,2,6,128,118
"05/1999",52,,,6,10,,32,,,322,102,776,62,2,234,2,,216,22,2,736,,,,318,70,,10,,2,,4,168,146
"06/1999",48,,,6,2,,24,,,290,104,780,98,,250,2,,192,18,,722,,,2,266,52,,6,,8,,4,158,152
"07/1999",32,,,6,14,,44,,,278,118,748,102,,202,,,194,26,,768,,,,290,68,,6,,4,,4,188,180
"08/1999",44,,,6,12,,44,,,268,104,830,94,2,204,,,172,18,,754,,,,338,62,,10,,8,,2,196,176
"09/1999",56,,,4,2,,42,,,292,146,704,132,,230,6,,218,16,,716,,,,298,72,,2,,4,,6,192,144
"10/1999",48,,,6,10,,50,,,326,112,816,102,,256,2,,204,20,,860,,,,356,62,,8,,10,,,160,120
"11/1999",50,,,2,10,,44,,,278,120,848,120,4,264,,,194,16,,758,,,2,364,68,,12,,2,,2,82,70
"12/1999",66,,,6,6,,50,,,290,84,858,92,,272,2,,252,14,2,866,,,,386,66,,4,,2,,,44,34
"01/2000",35,,,,5,,18,,,132,44,342,40,,90,,,91,8,,312,,,,135,19,,3,,1,,,23,21
"02/2000",22,1,,2,2,,16,,,121,34,294,50,,96,,,81,6,1,319,,,,147,25,,1,,,,,22,28
"03/2000",23,,,2,3,,11,,,122,49,345,47,,105,,,79,4,1,316,,,,145,27,,2,,3,,1,74,38
"04/2000",21,,,4,7,,20,,,137,35,357,46,,109,2,,113,3,,354,,,1,185,25,,1,,4,,1,84,62
"05/2000",32,,,1,6,,17,,,141,60,321,41,,82,,,103,8,,321,,,1,173,27,,2,,2,,1,102,73
"06/2000",40,,,2,5,,22,,,145,47,359,62,,110,,,85,7,,328,,,,164,35,,3,,3,,2,107,103
"07/2000",42,1,,2,5,,17,,,140,51,409,57,,123,2,,92,9,,386,,,1,168,29,,3,,,1,1,121,105
"08/2000",29,,,,4,,21,,,160,62,370,52,2,126,1,,97,9,,371,,,,171,33,,6,,4,,3,144,95
"09/2000",31,,,2,2,,17,,,125,68,369,51,2,112,,,89,9,,378,,,,157,32,,5,,6,,2,114,71
"10/2000",40,,,1,4,,19,,,131,66,376,67,3,101,,,103,6,,368,,,2,199,42,,5,,2,,1,83,52
"11/2000",25,,,1,3,,22,,,133,51,364,56,2,93,,,103,9,1,313,,,,179,29,,3,,1,,1,49,17
"12/2000",30,,,1,4,1,22,,,150,50,341,51,4,101,,,109,10,,373,,,,186,29,,3,,3,,,12,20
"01/2001",25,,,3,2,,17,,,109,58,306,49,3,91,,,64,13,,306,,,,148,30,,4,,2,,,16,25
"02/2001",25,,,1,4,,24,,,113,46,292,36,1,110,,,68,9,,279,,,,153,14,,4,,,,1,25,27
"03/2001",24,1,,,5,,20,,,115,51,322,45,3,101,2,,99,8,,316,,,,149,32,,3,,4,,2,49,30
"04/2001",35,,,1,4,,16,,,116,46,353,44,2,118,2,,87,10,,323,,,,152,28,,2,,3,,4,97,58
"05/2001",33,,,3,10,,14,,,126,52,316,40,4,112,,,108,9,,352,,,,187,32,1,3,,4,,2,89,82
"06/2001",34,,,2,4,,19,,,127,48,345,56,,92,,,99,7,1,309,,,,164,29,,,,4,,1,124,92
"07/2001",29,,,2,3,,17,,,142,51,379,47,5,105,,,91,9,,367,,,,197,28,,5,,7,,1,122,109
"08/2001",46,,,,6,,15,,,133,56,366,52,3,112,1,,116,13,,361,,,,169,35,,5,,4,,,126,102
"09/2001",40,,,,6,1,16,,,137,49,337,54,1,76,1,,100,14,,353,,,,161,30,,1,,4,,3,121,90
"10/2001",41,,,3,7,,22,,,158,47,335,68,1,114,1,,105,11,,353,,,,209,45,,2,,5,,1,85,57
"11/2001",35,,,2,4,,22,,,131,50,341,49,4,98,,,105,4,,388,,,1,188,32,,2,,2,,,64,47
"12/2001",46,,,2,5,,22,,,126,59,373,63,4,106,,,105,13,,388,,,1,209,37,,4,,4,,,34,40
"01/2002",27,2,,1,5,,16,,,138,51,338,45,1,89,,,90,8,,328,,,,185,30,,8,,2,,,30,23
"02/2002",31,,,,2,,22,,,93,55,296,45,2,90,,,82,11,,279,,,,153,29,,3,,2,,,46,24
"03/2002",42,1,,1,4,,19,,,103,52,332,48,6,110,2,,90,18,,336,,,2,195,39,,1,,1,,1,62,40
"04/2002",28,,,,3,,18,,,116,51,317,54,4,84,,,87,6,,357,,,,170,28,,3,,4,,1,91,56
"05/2002",26,1,,2,5,,16,,,145,35,314,59,8,107,,,114,9,,354,,,,181,35,,5,,5,,,112,97
"06/2002",35,,,,7,,16,,,119,52,304,64,2,111,1,,106,10,,324,,,,177,37,,3,,4,,1,151,112
"07/2002",26,,,1,3,,23,,,124,55,343,46,6,100,,,96,11,,354,,,1,187,32,,5,,6,,3,135,103
"08/2002",35,,,,6,,19,,,132,65,316,54,3,106,,,121,7,,324,,,,201,30,,1,,2,,,169,117
"09/2002",32,,,2,2,,24,,,129,49,352,65,3,98,,,95,5,,301,,,,174,34,,5,,4,,5,140,94
"10/2002",40,,,2,2,,24,,,156,39,335,57,3,112,,,115,8,,360,,,1,159,33,,5,,1,,4,79,54
"11/2002",38,,,,5,,17,,,136,45,343,49,4,92,,,105,4,,302,,,,177,33,,1,,1,,2,53,45
"12/2002",30,,,1,9,,20,,,128,60,348,57,6,100,1,,102,4,1,326,,,,174,40,,6,,1,,,29,19
"01/2003",31,,,1,2,,18,,,112,46,263,35,5,81,,,83,3,,271,,,,151,30,,7,,,,,30,15
"02/2003",30,,,,2,,7,,,100,48,253,37,3,84,,,83,2,,268,,,,155,35,,1,,,,,26,30
"03/2003",28,,,2,3,,19,,,121,44,303,61,1,83,,,96,4,,288,,,1,161,29,,8,,3,1,,72,50
"04/2003",37,,,1,7,,16,,,138,42,324,48,3,101,1,,82,5,,327,,,,205,33,,2,,7,,,124,86
"05/2003",41,,,,6,,23,,,115,52,330,57,3,90,,,97,11,,335,,,,160,34,,4,,2,,1,128,76
"06/2003",46,,,,8,,21,,,116,56,333,50,6,95,,,87,9,,319,,,,179,31,,3,,1,,2,139,97
"07/2003",38,1,,1,3,,21,,,135,56,326,57,3,91,,,97,6,,330,,,,183,31,,5,,8,,2,175,103
"08/2003",44,,,,7,1,31,,,117,48,327,66,4,106,1,,93,14,,344,,,,225,38,,4,,4,,2,179,106
"09/2003",26,,,,9,,22,,,125,33,281,50,6,107,1,,101,9,,314,,,,181,41,,2,,4,,1,166,94
"10/2003",28,,,1,5,,25,,,138,52,334,49,3,110,,,116,6,,372,,,,203,48,,7,,4,,2,122,68
"11/2003",41,,,,6,,27,,,128,57,324,64,7,124,,,117,11,,327,,,1,228,47,,12,,1,,1,69,48
"12/2003",40,,,1,6,,22,,,151,46,281,74,6,94,,,84,9,,306,,,,169,34,,6,,2,,,41,25
"01/2004",39,,,,9,,15,,,105,36,275,54,3,92,,,88,11,,312,,,,178,27,,7,,1,,,37,23
"02/2004",25,1,,,4,,23,,,90,37,246,58,11,99,,,87,4,1,278,,,,161,38,,1,,1,,2,41,36
"03/2004",37,,,2,3,,16,,,119,43,308,57,2,99,1,,75,9,,271,,,,165,38,,1,,1,,2,74,61
"04/2004",34,,,,5,,20,,,116,51,278,46,1,93,,,98,2,,274,,,,169,29,,4,,5,,3,93,79
"05/2004",32,,,,4,,23,,,111,44,307,51,2,107,,,92,4,,314,,,1,179,35,,4,,1,,,158,97
"06/2004",22,,,2,7,,17,,,112,52,298,53,6,115,1,,92,8,,295,,,,186,40,,3,,3,,2,156,106
"07/2004",34,,,,4,,25,,,128,54,308,55,3,108,1,,101,5,,280,,,,209,36,,2,,7,,2,177,126
"08/2004",41,,,,7,,24,,,141,50,278,52,3,98,,,90,7,,313,,,,208,37,,7,,6,,1,172,130
"09/2004",22,,,1,6,,13,,,109,53,301,52,3,97,,,91,4,,265,,,1,174,32,,9,,8,,1,142,111
"10/2004",33,,,,10,,19,,,89,49,317,52,1,111,,,108,6,,281,,,,217,39,,6,,3,,,120,77
"11/2004",39,,,,5,,21,,,113,48,301,61,3,114,,,101,2,,297,,,,194,29,,7,,2,,1,64,40
"12/2004",35,,,,7,,9,,,106,59,317,55,5,115,,,99,4,,329,,,,205,52,,4,,1,,,36,34
"01/2005",24,,,,5,,14,,,100,53,261,49,5,109,,,81,6,,271,,,,173,42,,7,,1,,,47,27
"02/2005",31,,,,4,,19,,,108,39,240,46,1,80,,,91,3,,245,,,,165,36,,3,,1,,1,44,26
"03/2005",30,1,,,10,,18,,,108,36,260,55,4,83,,,97,4,,260,,,,178,36,,1,,3,,1,85,45
"04/2005",35,,,1,7,,24,,,98,49,278,61,3,104,,,72,1,,263,,,,196,28,,6,,2,,3,145,98
"05/2005",49,,,,5,1,27,,,116,45,253,59,3,98,,,87,7,,293,,,,186,36,,4,,10,,,159,107
"06/2005",19,1,,2,3,,18,,,127,50,311,49,5,100,,,94,2,,252,,,,191,29,,4,,4,,3,175,111
"07/2005",40,,,,9,,25,,,118,42,306,71,6,120,,,106,10,,295,,,,191,32,,6,,3,,8,196,115
"08/2005",32,1,,1,8,,23,,,108,47,296,60,2,91,,,86,7,,310,,,,185,43,,5,,5,,5,189,126
"09/2005",37,,,2,3,,25,,,102,48,262,47,1,112,,,102,6,,273,,,,184,31,,6,,14,,6,205,126
"10/2005",50,,,1,10,,22,,,99,45,335,65,1,99,,,93,5,,323,,,,216,39,,4,,5,,2,149,83
"11/2005",39,,,,5,,33,,,132,63,293,54,5,108,,,95,7,,299,,,,207,45,,10,,4,,4,90,63
"12/2005",49,,,1,8,,24,,,112,61,261,72,6,107,,,86,3,,278,,,,200,41,,3,,2,,,37,25
"01/2006",41,,,1,5,,30,,,94,54,253,66,4,102,,,82,6,,255,,,,166,27,,7,,1,,1,55,40
"02/2006",37,,,,5,,15,,,85,34,260,45,4,75,,,86,5,,215,,,,166,41,,1,,1,,1,44,32
"03/2006",33,,,,6,,27,,,110,53,253,64,4,100,,,91,5,,256,,,,190,47,,4,,2,,2,111,51
"04/2006",45,,,1,7,,15,,,92,33,250,59,1,107,,,76,5,,242,,,,181,34,,6,,5,,6,151,100
